,ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group,Loan_Approved,CreditScore_Group,Suspicious
8712,8713,Male,White,34,25-60,26869,849,99166,Self-employed,Some College,Citizen,Fluent,No,No,Urban Professional,1,Excellent,True
7229,7230,Male,White,79,Over 60,31073,849,194305,Full-time,Bachelor's,Citizen,Fluent,No,No,Historically Redlined,1,Excellent,True
2755,2756,Male,Native American,69,Over 60,81147,849,164739,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
2527,2528,Male,White,22,Under 25,90205,849,442205,Self-employed,High School,Citizen,Limited,Yes,No,Working Class Urban,0,Excellent,True
2258,2259,Female,Black,35,25-60,94178,849,442705,Full-time,Some College,Citizen,Limited,No,No,High-income Suburban,0,Excellent,True
4396,4397,Female,White,56,25-60,120050,849,162294,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
8114,8115,Female,White,41,25-60,118015,849,64649,Full-time,Some College,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
288,289,Female,Asian,23,Under 25,26383,849,237074,Full-time,High School,Citizen,Limited,No,No,Historically Redlined,1,Excellent,True
2514,2515,Female,White,43,25-60,39615,849,213469,Part-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
2018,2019,Male,White,70,Over 60,42400,849,384920,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
1034,1035,Female,White,76,Over 60,52573,849,139228,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
5860,5861,Male,Hispanic,80,Over 60,151900,849,234158,Part-time,Some College,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
5832,5833,Female,Black,57,25-60,30097,849,351292,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
6184,6185,Female,Multiracial,82,Over 60,161800,849,216033,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
9579,9580,Male,White,46,25-60,154245,849,90255,Full-time,High School,Permanent Resident,Fluent,Yes,No,Urban Professional,0,Excellent,True
420,421,Male,White,54,25-60,110836,849,244440,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional,0,Excellent,True
2616,2617,Male,Black,35,25-60,54143,849,123462,Self-employed,Bachelor's,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
2800,2801,Female,White,37,25-60,42034,849,391662,Self-employed,Graduate,Citizen,Fluent,No,No,Urban Professional,0,Excellent,True
3052,3053,Female,Multiracial,29,25-60,167769,848,411324,Self-employed,High School,Citizen,Limited,Yes,No,Urban Professional,0,Excellent,True
3385,3386,Male,White,74,Over 60,90739,848,335620,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined,0,Excellent,True
7243,7244,Female,Hispanic,22,Under 25,37388,848,343050,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban,0,Excellent,True
8847,8848,Male,White,76,Over 60,123984,848,269028,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
2895,2896,Male,Hispanic,67,Over 60,30442,848,130772,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban,0,Excellent,True
